"filename", "language", "C#", "UnityAssemblyDefinition", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\CameraFollowTarget.cs", "C#", -17, 0, 0, -3, -20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Colors.cs", "C#", -147, 0, -2, -2, -151
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\DeepCopy.cs", "C#", -45, 0, 0, -1, -46
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Direction8.cs", "C#", -14, 0, 0, 0, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\DirectionMethods.cs", "C#", -218, 0, 0, -17, -235
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\EffectPrefabTypeExtension.cs", "C#", -41, 0, 0, -2, -43
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\EnumerableExtension.cs", "C#", -193, 0, -3, -30, -226
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\IntegratedSet.cs", "C#", -37, 0, 0, -5, -42
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\IsExternalInit.cs", "C#", -8, 0, 0, -1, -9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Messages\GroupEvents.cs", "C#", -59, 0, 0, -12, -71
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Messages\MessageSubject.cs", "C#", -26, 0, 0, -5, -31
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Messages\Messages.asmdef", "UnityAssemblyDefinition", 0, -16, 0, 0, -16
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Messages\ObservableExtension.cs", "C#", -19, 0, 0, -2, -21
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\ObservableExtension.cs", "C#", -88, 0, -2, -13, -103
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\ParticleType.cs", "C#", -29, 0, 0, 0, -29
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Serialize\IconSerializable.cs", "C#", -34, 0, 0, -3, -37
